id,uw,gauge,group,group_id
STB90,0.0013639,0.09,Bass - Super Steels,STB
STB98,0.0018184,0.098,Bass - Super Steels,STB
STB102,0.0020094,0.102,Bass - Super Steels,STB
STB106,0.0021456,0.106,Bass - Super Steels,STB
STB121,0.0027925,0.121,Bass - Super Steels,STB
STB126,0.0029182,0.126,Bass - Super Steels,STB
STB5501,0.00034447,,Bass - Super Steels,STB
STB5502,0.00075784,,Bass - Super Steels,STB
STB5503,0.0010972,,Bass - Super Steels,STB
STB5504,0.0019979,,Bass - Super Steels,STB
TW3061,0.00035663,,Bass - Tapewound,TW
TW3062,0.00074452,,Bass - Tapewound,TW
TW3063,0.001232,,Bass - Tapewound,TW
TW3064,0.0016859,,Bass - Tapewound,TW
TW3065,0.0022694,,Bass - Tapewound,TW
