id,uw,gauge,group_id,group
XTPB029,0.00017107,0.029,XTPB,Phosphor Bronze
XTPB032,0.00020607,0.032,XTPB,Phosphor Bronze
XTPB035,0.00024692,0.035,XTPB,Phosphor Bronze
XTPB039,0.00030249,0.039,XTPB,Phosphor Bronze
XTPB042,0.00035496,0.042,XTPB,Phosphor Bronze
XTPB045,0.00040203,0.045,XTPB,Phosphor Bronze
XTPB047,0.0004351,0.047,XTPB,Phosphor Bronze
XTPB048,0.00045493,0.048,XTPB,Phosphor Bronze
XTPB052,0.00052954,0.052,XTPB,Phosphor Bronze
XTPB053,0.00054532,0.053,XTPB,Phosphor Bronze
XTPB056,0.00060666,0.056,XTPB,Phosphor Bronze
XTPB060,0.00070279,0.06,XTPB,Phosphor Bronze
XTPB070,0.00093323,0.07,XTPB,Phosphor Bronze
XTPL008,1.4185e-05,0.008,XTPL,Tin Coated NY Steel
XTPL009,1.7953e-05,0.009,XTPL,Tin Coated NY Steel
XTPL010,2.2164e-05,0.01,XTPL,Tin Coated NY Steel
XTPL011,2.6818e-05,0.011,XTPL,Tin Coated NY Steel
XTPL012,3.1916e-05,0.012,XTPL,Tin Coated NY Steel
XTPL013,3.7457e-05,0.013,XTPL,Tin Coated NY Steel
XTPL014,4.3441e-05,0.014,XTPL,Tin Coated NY Steel
XTPL016,5.674e-05,0.016,XTPL,Tin Coated NY Steel
XTPL017,6.4054e-05,0.017,XTPL,Tin Coated NY Steel
XTPL018,7.1811e-05,0.018,XTPL,Tin Coated NY Steel
XTPL022,0.00010727,0.022,XTPL,Tin Coated NY Steel
